source_group_id,source_title,title_correction,original_table_location,surface_label,material,treatment,state,liquid,contact_angle_deg,reported_value_text,censor_type,contact_angle_type,contact_angle_std_deg,contact_angle_range,replicate_n,measurement_method,droplet_volume_uL,license,DOI,keep_reason,exclusion_reason
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:1 (FEP-S)","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,ethylene glycol,152.4,152.4 +/- 0.9,none,reported contact angle; static/advancing/receding mode not specified,0.9,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:1 (FEP-S)","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,diiodomethane,153.4,153.4 +/- 1.3,none,reported contact angle; static/advancing/receding mode not specified,1.3,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:2","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:2; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,water,125.2,125.2 +/- 1.5,none,reported contact angle; static/advancing/receding mode not specified,1.5,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:2","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:2; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,glycerol,120.5,120.5 +/- 1.5,none,reported contact angle; static/advancing/receding mode not specified,1.5,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:2","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:2; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,ethylene glycol,132.7,132.7 +/- 1.4,none,reported contact angle; static/advancing/receding mode not specified,1.4,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 1:2","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 1:2; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,diiodomethane,120.8,120.8 +/- 1.8,none,reported contact angle; static/advancing/receding mode not specified,1.8,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 0:1","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 0:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,water,120.7,120.7 +/- 2.7,none,reported contact angle; static/advancing/receding mode not specified,2.7,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 0:1","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 0:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,glycerol,114.4,114.4 +/- 1.8,none,reported contact angle; static/advancing/receding mode not specified,1.8,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 0:1","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 0:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,ethylene glycol,118.5,118.5 +/- 1.7,none,reported contact angle; static/advancing/receding mode not specified,1.7,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC018,Robust Superhydrophobic and Repellent Coatings Based on Micro/Nano SiO2 and Fluorinated Epoxy,Corrected from the unrelated local title referring to FEP/SiO2 oil/water-separation coatings.,"Table 2, PDF page 8; measurement method in Section 2.4, PDF page 5","fluorinated epoxy coating, micro:nano = 0:1","fluorinated epoxy with micro/nano SiO2, spray-coated on a glass slide",total SiO2 = 10 wt% of fluorinated epoxy; micro:nano SiO2 ratio 0:1; heated at 80 C for 5 min and cured at 120 C for 2 h,as-prepared rough micro/nanostructured coating,diiodomethane,108.5,108.5 +/- 2.4,none,reported contact angle; static/advancing/receding mode not specified,2.4,,5 surface positions,JC 2000D2 contact-angle tester at 25 C; mean of five positions,not reported,CC BY 4.0,10.3390/coatings11060663,Direct Table 2 extraction. The abstract assigns the four FEP-S values to liquids in a conflicting order; Table 2 is retained as the row/column source. Main-analysis use remains conditional on the angle-type policy.,
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, reference, before weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state","reference, before weather aging",water,87.6,87.6 +/- 0.79,none,reported contact angle; static/advancing/receding mode not specified,0.79,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 100 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 100 h weather aging,water,90.6,90.6 +/- 6.61,none,reported contact angle; static/advancing/receding mode not specified,6.61,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 200 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 200 h weather aging,water,98.2,98.2 +/- 1.01,none,reported contact angle; static/advancing/receding mode not specified,1.01,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 300 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 300 h weather aging,water,97.8,97.8 +/- 1.73,none,reported contact angle; static/advancing/receding mode not specified,1.73,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 400 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 400 h weather aging,water,97.6,97.6 +/- 0.97,none,reported contact angle; static/advancing/receding mode not specified,0.97,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, reference, before weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state","reference, before weather aging",diiodomethane,61.6,61.6 +/- 1.43,none,reported contact angle; static/advancing/receding mode not specified,1.43,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 100 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 100 h weather aging,diiodomethane,59.9,59.9 +/- 0.74,none,reported contact angle; static/advancing/receding mode not specified,0.74,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 200 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 200 h weather aging,diiodomethane,55.4,55.4 +/- 1.89,none,reported contact angle; static/advancing/receding mode not specified,1.89,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 300 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 300 h weather aging,diiodomethane,62.5,62.5 +/- 1.73,none,reported contact angle; static/advancing/receding mode not specified,1.73,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 400 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 400 h weather aging,diiodomethane,53.8,53.8 +/- 1.68,none,reported contact angle; static/advancing/receding mode not specified,1.68,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, reference, before weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state","reference, before weather aging",ethylene glycol,63.3,63.3 +/- 1.72,none,reported contact angle; static/advancing/receding mode not specified,1.72,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 100 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 100 h weather aging,ethylene glycol,65.4,65.4 +/- 1.79,none,reported contact angle; static/advancing/receding mode not specified,1.79,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
SRC019,Plant-Origin Stabilizer as an Alternative of Natural Additive to Polymers Used in Packaging Materials,No title correction required.,"Table 1, PDF page 4; measurement method in Section 3.4.1, PDF page 13","Topas, after 200 h weather aging",ethylene-norbornene copolymer,"controlled weather aging; reference/0 h, 100 h, 200 h, 300 h, or 400 h as encoded in the state",after 200 h weather aging,ethylene glycol,74.9,74.9 +/- 1.04,none,reported contact angle; static/advancing/receding mode not specified,1.04,,10 contact-angle determinations,DataPhysics OCA 15EC goniometer with SCA 20 software; drop volume and fitting details not reported,not reported,CC BY 4.0,10.3390/ijms22084012,"Direct Table 1 extraction with mean, standard deviation, composition, and aging time. Main-analysis use remains conditional on the angle-type policy.",
