surface_group_id,source_group_id,solid_name,solid_family,solid_substrate,surface_treatment,surface_treatment_detail,coating_or_layer,surface_state,roughness_Ra_nm,roughness_Rq_nm,roughness_r_factor,sample_preparation_notes
SFC_1959CDFDAA85,SRC004,CeO2 ceramic,oxide,rare-earth oxide ceramic,sintering,CeO2 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_1A0DE38C2B6C,SRC019,Topas/CBD,polymer,,other,Topas/CBD after 200 h weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
SFC_1A55A8F9BE53,SRC004,Eu2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Eu2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_1B0EE35A8601,SRC005,Flat polystyrene,polymer,polystyrene,untreated,flat polystyrene reference surface,,smooth,,,,flat polystyrene reference surface
SFC_1B7A5069B364,SDX008,PLA-C adsorption layer on silicone,polymer,silicone,PLA adsorption,PLA-C adsorption layer on silicone; Table 4 contact angles for PLA interfacial adsorption study,PLA adsorption layer,smooth,,,,PLA-C adsorption layer on silicone; Table 4 contact angles for PLA interfacial adsorption study
SFC_1CE43E1DBA17,SRC009,PEEK,polymer,,mechanical_polishing,IPA cleaning + sand blasting,,rough,,,,IPA cleaning + sand blasting
SFC_1D3B0F1839B5,SDX004,"L3-C coated laser-textured CFRP, cleaning step 2",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L3-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 2; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L3-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 2; Table 4
SFC_1D8B05F80DC7,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-3 swollen sample,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_20F9A903B6D3,SRC019,Topas/CBD,polymer,,other,Topas/CBD after 400 h weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
SFC_21ABD9D32070,SDX008,Glass control substrate,glass,glass,untreated,Glass control substrate; Table 4 contact angles for PLA interfacial adsorption study,,smooth,,,,Glass control substrate; Table 4 contact angles for PLA interfacial adsorption study
SFC_21F140E4B18D,SRC011,Sn,metal,,untreated,"water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"water contact angle from Berry Table 1, primary ref [24]"
SFC_21F55DB1DB1F,SRC011,PC,polymer,,untreated,Untreated PC substrate; sessile drop method.,,smooth,,,,Untreated PC substrate; sessile drop method.
SFC_2202AAAAD87C,SRC001,Diamond powder (200 h irradiation),carbon_material,,other,diamond nanopowder after 200 h low-energy electron flux,,powder,,,,diamond nanopowder after 200 h low-energy electron flux
SFC_231FB62337B5,SRC005,Fluorosilane-treated flat polystyrene,polymer,polystyrene,coating,flat polystyrene following fluorosilane treatment,fluorosilane,smooth,,,,flat polystyrene following fluorosilane treatment
SFC_24AA4E8E6A9C,SRC011,PET,polymer,,coating,"FDTS SAM, optimal concentration 26.5 mM dm^-2.","FDTS SAM, optimal concentration 26.5 mM dm^-2.",smooth,,,,"FDTS SAM, optimal concentration 26.5 mM dm^-2."
SFC_251879E7A061,SRC011,PC,polymer,,laser,Surface textured via CO2 laser ablation.,,rough,,,,Surface textured via CO2 laser ablation.
SFC_258CBA406DD6,SRC023,PBT,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_27BD567B723E,SRC011,Ni,metal,,untreated,"water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"water contact angle from Berry Table 1, primary ref [24]"
SFC_292FB4EA5D24,SRC022,Ionene C11Br,polymer,,untreated,Ionene C11Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_2A727AF34E6D,SRC013,RSC coated paper S1,coating,coated inkjet paper,coating,RSC coated paper S1 coated inkjet paper substrate,,smooth,,105.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_2A9E0C34389A,SRC004,Tb4O7 ceramic,oxide,rare-earth oxide ceramic,sintering,Tb4O7 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_2B64446C7017,SRC019,Topas,polymer,,other,Topas after 100 h weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_2D953D8FEA9A,SRC014,Cellulose acetate CA,polymer,cellulose ester film/membrane,chemical_modification,"cellulose acetate film, Table 2/4",,smooth,,,,"cellulose acetate film, Table 2/4"
SFC_2E5EA5C6D130,SRC022,Ionene C5PF6,polymer,,untreated,Ionene C5PF6 synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_2E8A7F435ADF,SRC004,Lu2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Lu2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_2F5D209BCFE9,SRC024,PP,polymer,,unknown,existing project low_polarity; condition not specified,,smooth,,,,
SFC_2F8ECAFB7400,SRC023,PS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_3014F50685DA,SRC015,Un-doped DLC-coated PMMA,polymer,PMMA microfluidic device,coating,un-doped diamond-like carbon coating on PMMA,,smooth,,,,un-doped diamond-like carbon coating on PMMA
SFC_309E17907FBA,SRC004,Pr6O11 ceramic,oxide,rare-earth oxide ceramic,sintering,Pr6O11 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_3165A119B1C7,SRC011,Copper,metal,,oxidation,"oxidized copper, water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"oxidized copper, water contact angle from Berry Table 1, primary ref [24]"
SFC_3269642DA2B0,SRC023,Epoxy,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_3658FB055001,SRC004,Nd2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Nd2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_37A719049846,SDX004,"L1-C coated laser-textured CFRP, cleaning step 2",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L1-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 2; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L1-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 2; Table 4
SFC_37C517499760,SRC011,TiO2,oxide,,UV_ozone,Superhydrophilic after UV irradiation.,,smooth,,,,Superhydrophilic after UV irradiation.
SFC_37DC2984D4A3,SDX004,"L1-C coated laser-textured CFRP, cleaning step 5",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L1-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 5; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L1-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 5; Table 4
SFC_38EFEBA36525,SDX001,SG3/CBD coated PMMA,polymer,PMMA,laser_texturing_or_hybrid_coating,"SG3/CBD coated PMMA; PMMA laser/GO/CBD surface, Table 3",GO/CBD hybrid coating,rough_coated,1310.0,1660.0,,"SG3/CBD coated PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_39B450DAB1FB,SRC022,Ionene C6Br,polymer,,untreated,Ionene C6Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_39DBA098ECDC,SRC013,RSC coated paper S3,coating,coated inkjet paper,coating,RSC coated paper S3 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_3A2A2BDFA9F8,SRC011,PET,polymer,,untreated,Before atmospheric-pressure plasma treatment.,,smooth,,,,Before atmospheric-pressure plasma treatment.
SFC_3A3E77A94794,SDX004,"L4-C coated laser-textured CFRP, cleaning step 2",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L4-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 2; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L4-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 2; Table 4
SFC_3A912BE10F78,SRC019,PLA/CBD,polymer,,other,PLA/CBD reference sample before weather aging; CBD plant-origin stabilizer additive,CBD plant-origin stabilizer additive,smooth,,,,polymer packaging film weather-aging series
SFC_3BF005A262A4,SRC020,Ti-NT-EG before UV,oxide,titanium/titania nanotube array,anodization,TiO2 nanotube array anodized in ethylene glycol electrolyte before UV irradiation,,nanotube_array,,,,TiO2 nanotube array anodized in ethylene glycol electrolyte before UV irradiation
SFC_3C4F304244DF,SDX001,SG9.5 laser-textured PMMA,polymer,PMMA,laser_texturing_or_hybrid_coating,"SG9.5 laser-textured PMMA; PMMA laser/GO/CBD surface, Table 3",,rough_coated,510.0,680.0,,"SG9.5 laser-textured PMMA; PMMA laser/GO/CBD surface, Table 3"
SFC_3D1A32355659,SRC011,TiO2,oxide,,UV_ozone,Film prepared with SiO2; superhydrophilic after UV illumination.,,smooth,,,,Film prepared with SiO2; superhydrophilic after UV illumination.
SFC_3FA2C1A21D11,SDX004,"L3-C coated laser-textured CFRP, cleaning step 1",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L3-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 1; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L3-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 1; Table 4
SFC_40DC495414A4,SDX008,PTFE control substrate,polymer,PTFE,untreated,PTFE control substrate; Table 4 contact angles for PLA interfacial adsorption study,,smooth,,,,PTFE control substrate; Table 4 contact angles for PLA interfacial adsorption study
SFC_417F923EF7B4,SRC013,RSC coated paper S4,coating,coated inkjet paper,coating,RSC coated paper S4 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_42A21ABE09F9,SDX005,low-energy coating sample 14,coating,coated substrate,low_surface_energy_coating,0/5 polymer/silica low-surface-energy coating; Table 4,polymer/silica low-surface-energy coating,coated,,,,0/5 polymer/silica low-surface-energy coating; Table 4
SFC_44B95F9FBEE4,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-0 captive bubble method,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_463017990582,SRC020,Ti-NT-ChCl after UV,oxide,titanium/titania nanotube array,UV_ozone,TiO2 nanotube array anodized in choline chloride electrolyte after 20 min UV irradiation,,nanotube_array,,,,TiO2 nanotube array anodized in choline chloride electrolyte after 20 min UV irradiation
SFC_49842D0D9B8F,SRC023,PDMS,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_4A58BED65751,SDX009,M-Poly-PyB modified nonwoven PET membrane,polymer,nonwoven polyester membrane,co_polyamide_membrane_modification,M-Poly-PyB modified nonwoven PET membrane; surface porosity 58%; Table 3,pendant phenyl/pyridinyl co-polyamide,porous_membrane,,,,M-Poly-PyB modified nonwoven PET membrane; surface porosity 58%; Table 3
SFC_4A9A552599CA,SRC007,PET,polymer,,untreated,neat polymer matrix film before carbon black addition,,smooth,,,,neat polymer matrix reference
SFC_4B8196140353,SDX004,"L2-C coated laser-textured CFRP, cleaning step 1",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L2-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 1; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L2-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 1; Table 4
SFC_4B9DA50F6033,SRC006,Polypropylene carbonate (PPC),polymer,biodegradable PPC film,untreated,biodegradable CO2-based PPC polymer dielectric/substrate film,,smooth,,,,PPC film used as both dielectric and flexible substrate in organic thin-film transistors
SFC_4CE305FCECB9,SRC004,Dy2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Dy2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_4E9D8F5E0021,SRC001,ZnO powder (100 h irradiation),oxide,,other,ZnO nanopowder after 100 h low-energy electron flux,,powder,,,,ZnO nanopowder after 100 h low-energy electron flux
SFC_500FB1C18BA7,SRC020,Ti-NT-EG after UV,oxide,titanium/titania nanotube array,UV_ozone,TiO2 nanotube array anodized in ethylene glycol electrolyte after 20 min UV irradiation,,nanotube_array,,,,TiO2 nanotube array anodized in ethylene glycol electrolyte after 20 min UV irradiation
SFC_501977853E73,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-3 dry film,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_518FE42D18EE,SRC019,PLA,polymer,,other,PLA after 100 h weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_54D3CCF77E3A,SRC014,Cellulose tri-laurate CTL,polymer,cellulose ester film/membrane,chemical_modification,"cellulose tri-laurate film, Table 7/8",,smooth,,,,"cellulose tri-laurate film, Table 7/8"
SFC_5523B41BFD8F,SRC002,Fluorinated terpolymer electrospun nanofiber mat,polymer,electrospun terpolymer nanofibers containing perfluoroethyl alkyl methacrylate,coating,electrospun terpolymer nanofibers containing perfluoroethyl alkyl methacrylate,electrospun terpolymer nanofibers containing perfluoroethyl alkyl methacrylate,rough,,,,reserved as hard external high-contact-angle / non-water-rich challenge case
SFC_55DDAE9FF4E5,SDX006,CS chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CS chitosan/dialdehyde film; Table 3,,coated,,,,CS chitosan/dialdehyde film; Table 3
SFC_572551235161,SRC004,Er2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Er2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_57C35DC0B570,SDX010,smooth PIndole-5-F6 film,polymer,electrodeposited polyindole film,electrodeposition,smooth PIndole-5-F6 film; smooth-film Table 4 roughness/contact angles,fluorinated polyindole film,smooth_nanostructured,6.4,9.8,,smooth PIndole-5-F6 film; smooth-film Table 4 roughness/contact angles
SFC_587171B3415D,SRC011,PTFE,polymer,,plasma,"Treated with O2/Ar plasma, plasma etching method.",,smooth,,,,"Treated with O2/Ar plasma, plasma etching method."
SFC_588A96278F34,SRC022,Ionene C9Br,polymer,,untreated,Ionene C9Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_5909B52DF857,SRC011,Ti,metal,,untreated,"water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"water contact angle from Berry Table 1, primary ref [24]"
SFC_590E8318F5D5,SDX005,low-energy coating sample 7,coating,coated substrate,low_surface_energy_coating,10/5 polymer/silica low-surface-energy coating; Table 4,polymer/silica low-surface-energy coating,coated,,,,10/5 polymer/silica low-surface-energy coating; Table 4
SFC_5A7AACDD77C7,SRC016,BOND reference paper,cellulose,,untreated,BOND reference paper; laboratory conditions 24 +/- 1 C and RH 15 +/- 5%,,smooth,118.0,151.5,1.008,paper/polymer planar reaction array substrate; AFM roughness from Table 1
SFC_5B4B735AB969,SRC019,PLA,polymer,,other,PLA after 200 h weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_5B98CD5D3171,SRC008,PEGDA hydrogel,biomaterial,,other,PEGDA-0 dry film,,smooth,,,,photopolymerized PEGDA hydrogel formulation
SFC_5EB9C176CFB3,SRC007,PP,polymer,,untreated,neat polymer matrix film before carbon black addition,,smooth,,,,neat polymer matrix reference
SFC_5EBD6486C99B,SRC020,Ti-NT-ChCl before UV,oxide,titanium/titania nanotube array,anodization,TiO2 nanotube array anodized in choline chloride electrolyte before UV irradiation,,nanotube_array,,,,TiO2 nanotube array anodized in choline chloride electrolyte before UV irradiation
SFC_614D12C0AF73,SRC011,Gold,metal,,untreated,"water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"water contact angle from Berry Table 1, primary ref [24]"
SFC_64CEEFE0D7DB,SRC021,MacroPSi-2,semiconductor,silicon,etching,"electrochemically etched macroporous silicon, 10 mA cm^-2 for 40 min; porosity 86.2 +/- 6.2%; Table 4 before FOTS treatment",,porous,,,,"electrochemically etched macroporous silicon, 10 mA cm^-2 for 40 min; porosity 86.2 +/- 6.2%; Table 4 before FOTS treatment"
SFC_65564B0B1510,SDX004,"L4-C coated laser-textured CFRP, cleaning step 0",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L4-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 0; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L4-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 0; Table 4
SFC_669705F5791A,SRC021,FOTS-MacroPSi-3,semiconductor,silicon,coating,FOTS fluoroalkylsilane-treated MacroPSi-3 surface from Table 5,FOTS fluoroalkylsilane layer,porous,,,,FOTS fluoroalkylsilane-treated MacroPSi-3 surface from Table 5
SFC_66D5DCF7DD85,SRC016,PDMS reference film,polymer,,untreated,PDMS reference film; laboratory conditions 24 +/- 1 C and RH 15 +/- 5%,,smooth,0.8,1.8,1.0,paper/polymer planar reaction array substrate; AFM roughness from Table 1
SFC_66EE1063F64A,SRC014,Cellulose laurate oleate dodecanoate CLTOD(a),polymer,cellulose ester film/membrane,chemical_modification,"cellulose mixed ester CLTOD(a), Table 7/8",,smooth,,,,"cellulose mixed ester CLTOD(a), Table 7/8"
SFC_67E6ABEA7841,SRC013,RSC coated paper S6,coating,coated inkjet paper,coating,RSC coated paper S6 coated inkjet paper substrate,,smooth,,10.0,,commercial coated inkjet paper substrate used for printed PEDOT:PSS line performance study
SFC_6A14591A116F,SRC011,ODS/FAS silane SAM on Si,coating,,coating,Organosilane SAMs formed at vapor/solid interface.,Organosilane SAMs formed at vapor/solid interface.,smooth,,,,Organosilane SAMs formed at vapor/solid interface.
SFC_6A9094C843B2,SRC021,MacroPSi-3,semiconductor,silicon,etching,"electrochemically etched macroporous silicon, 5 mA cm^-2 for 20 min; porosity 30.2 +/- 1.4%; Table 4 before FOTS treatment",,porous,,,,"electrochemically etched macroporous silicon, 5 mA cm^-2 for 20 min; porosity 30.2 +/- 1.4%; Table 4 before FOTS treatment"
SFC_6A9ED69E4397,SRC016,Semi-bleached kraft paper SBKP,cellulose,,untreated,Semi-bleached kraft paper SBKP; laboratory conditions 24 +/- 1 C and RH 15 +/- 5%,,rough,576.9,748.1,1.079,paper/polymer planar reaction array substrate; AFM roughness from Table 1
SFC_6DD3FB38C4D9,SRC003,"FTS-treated Cu micro-cone array, 15 min",metal,copper,chemical_deposition_plasma_fluorosilane,"template-free Cu micro-cone arrays, air plasma activation, 15 min FTS treatment",fluorocarbon FTS layer on Cu micro-cone array,rough,,,,selected from high-angle candidate audit because paired water/diiodomethane values allow apparent OWRK feature completion
SFC_72042D49E582,SDX004,"L2-C coated laser-textured CFRP, cleaning step 5",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L2-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 5; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L2-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 5; Table 4
SFC_7287C875CEAD,SDX004,"L2-C coated laser-textured CFRP, cleaning step 2",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L2-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 2; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L2-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 2; Table 4
SFC_728CE2CDF422,SRC019,Topas,polymer,,other,Topas after 400 h weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_7311940ACDF8,SRC014,Cellulose acetate benzoate CA-Bz,polymer,cellulose ester film/membrane,chemical_modification,"aromatic cellulose acetate benzoate film, Table 2/4",,smooth,,,,"aromatic cellulose acetate benzoate film, Table 2/4"
SFC_7320418E2637,SRC023,PIB,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,unknown,,,,
SFC_740023729038,SDX002,Staphylococcus epidermidis microbial lawn,biomaterial,microbial lawn on membrane filter,hydrated_microbial_lawn,Staphylococcus epidermidis microbial lawn; Table 2 microbial surface contact angles,,biological_surface,,,,Staphylococcus epidermidis microbial lawn; Table 2 microbial surface contact angles
SFC_74C7FAE58BD3,SRC011,Aluminum,metal,,mechanical_polishing,"polished aluminum, water contact angle from Berry Table 1, primary ref [24]",,smooth,,,,"polished aluminum, water contact angle from Berry Table 1, primary ref [24]"
SFC_75203B72A5AD,SRC022,Ionene C5Br,polymer,,untreated,Ionene C5Br synthesized ionene film,,smooth,,,,ionene phase-change/self-healing polymer film
SFC_755688E8B50B,SDX005,low-energy coating sample 2,coating,coated substrate,low_surface_energy_coating,10/20 polymer/silica low-surface-energy coating; Table 4,polymer/silica low-surface-energy coating,coated,,,,10/20 polymer/silica low-surface-energy coating; Table 4
SFC_775871D74DA8,SDX003,Ankit microcrystalline cellulose powder column,cellulose,microcrystalline cellulose powder,powder_column_capillary_intrusion,Ankit microcrystalline cellulose powder column; Table II capillary intrusion contact angles,,porous_powder,,,,Ankit microcrystalline cellulose powder column; Table II capillary intrusion contact angles
SFC_782084083F60,SRC023,PLA,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_78D1FEDEA019,SDX004,"L4-C coated laser-textured CFRP, cleaning step 5",composite,carbon-fiber-reinforced polymer composite,laser_texturing_and_coating,L4-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 5; Table 4,hydrophobic coating on laser-textured CFRP,rough_coated,,,,L4-C femtosecond-laser-textured CFRP with hydrophobic coating after cleaning step 5; Table 4
SFC_7A3F6303565B,SRC014,Cellulose acetate hydroxybenzoate CA-HBz,polymer,cellulose ester film/membrane,chemical_modification,"hydroxybenzoate cellulose acetate film, Table 2/4",,smooth,,,,"hydroxybenzoate cellulose acetate film, Table 2/4"
SFC_7ABDB4BDAFA3,SDX006,CSDA/PH chitosan-dialdehyde film,biomaterial,chitosan film,deep_eutectic_solvent_functionalization,CSDA/PH chitosan/dialdehyde film; Table 3,,coated,,,,CSDA/PH chitosan/dialdehyde film; Table 3
SFC_7CE7C443ED47,SRC019,PLA,polymer,,other,PLA after 400 h weather aging,,smooth,,,,polymer packaging film weather-aging series
SFC_7D389175DB70,SRC014,Cellulose laurate oleate dodecanoate CLTOD(b),polymer,cellulose ester film/membrane,chemical_modification,"cellulose mixed ester CLTOD(b), Table 7/8",,smooth,,,,"cellulose mixed ester CLTOD(b), Table 7/8"
SFC_7E0BA3D04E9B,SRC004,Tm2O3 ceramic,oxide,rare-earth oxide ceramic,sintering,Tm2O3 ceramic; sintered rare-earth oxide ceramic,,ceramic,,,,rare-earth oxide high-angle ceramic/sputtered surface; reserved for hard external evaluation
SFC_80F2E516B76C,SRC011,TiO2,oxide,,UV_ozone,"After UV illumination (lambda < 380 nm, 1.1 mW cm^-2).",,smooth,,,,"After UV illumination (lambda < 380 nm, 1.1 mW cm^-2)."
SFC_8236ECA9EB74,SRC023,PTFE,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_82F5C36F39D2,SDX007,PLA film before composting,polymer,PLA,extruded_film_before_composting,PLA film before composting; month 0 before composting; Table 1/2,,smooth,,,,PLA film before composting; month 0 before composting; Table 1/2
SFC_833BD19E975A,SRC023,PVC,polymer,,unknown,existing project typical literature-derived value; original script does not specify treatment,,smooth,,,,
SFC_83F1B2FBD3D1,SRC011,PMMA,polymer,,UV_ozone,"100% acetic acid treatment + UV irradiation (234 nm, 30 s).",,smooth,,,,"100% acetic acid treatment + UV irradiation (234 nm, 30 s)."
